year,age_group,sex,education_category,education_type,region,value
2019,60 - 64 years,Both sexes,All Levels,all,Eastern and Midland,54.5
2020,60 - 64 years,Both sexes,All Levels,all,Eastern and Midland,51.7
2021,60 - 64 years,Both sexes,All Levels,all,Eastern and Midland,51.3
2022,60 - 64 years,Both sexes,All Levels,all,Eastern and Midland,57.7
2023,60 - 64 years,Both sexes,All Levels,all,Eastern and Midland,58.3
2024,60 - 64 years,Both sexes,All Levels,all,Eastern and Midland,61.0
2019,All ages,Both sexes,All Levels,all,Eastern and Midland,76.6
2020,All ages,Both sexes,All Levels,all,Eastern and Midland,73.2
2021,All ages,Both sexes,All Levels,all,Eastern and Midland,75.9
2022,All ages,Both sexes,All Levels,all,Eastern and Midland,79.0
2023,All ages,Both sexes,All Levels,all,Eastern and Midland,80.7
2024,All ages,Both sexes,All Levels,all,Eastern and Midland,80.8
2019,20 - 24 years,Both sexes,Primary & Lower Secondary,detailed,Eastern and Midland,33.4
2020,20 - 24 years,Both sexes,Primary & Lower Secondary,detailed,Eastern and Midland,34.8
2019,25 - 29 years,Both sexes,Primary & Lower Secondary,detailed,Eastern and Midland,48.4
2020,25 - 29 years,Both sexes,Primary & Lower Secondary,detailed,Eastern and Midland,32.1
2019,30 - 34 years,Both sexes,Primary & Lower Secondary,detailed,Eastern and Midland,52.4
2020,30 - 34 years,Both sexes,Primary & Lower Secondary,detailed,Eastern and Midland,50.5
2019,35 - 39 years,Both sexes,Primary & Lower Secondary,detailed,Eastern and Midland,57.3
2020,35 - 39 years,Both sexes,Primary & Lower Secondary,detailed,Eastern and Midland,50.8
2019,40 - 44 years,Both sexes,Primary & Lower Secondary,detailed,Eastern and Midland,58.1
2020,40 - 44 years,Both sexes,Primary & Lower Secondary,detailed,Eastern and Midland,49.7
2022,40 - 44 years,Both sexes,Primary & Lower Secondary,detailed,Eastern and Midland,64.4
2023,40 - 44 years,Both sexes,Primary & Lower Secondary,detailed,Eastern and Midland,55.5
2019,45 - 49 years,Both sexes,Primary & Lower Secondary,detailed,Eastern and Midland,59.4
2020,45 - 49 years,Both sexes,Primary & Lower Secondary,detailed,Eastern and Midland,56.5
2021,45 - 49 years,Both sexes,Primary & Lower Secondary,detailed,Eastern and Midland,48.0
2022,45 - 49 years,Both sexes,Primary & Lower Secondary,detailed,Eastern and Midland,46.0
2023,45 - 49 years,Both sexes,Primary & Lower Secondary,detailed,Eastern and Midland,57.5
2024,45 - 49 years,Both sexes,Primary & Lower Secondary,detailed,Eastern and Midland,71.2
2019,50 - 54 years,Both sexes,Primary & Lower Secondary,detailed,Eastern and Midland,60.8
2020,50 - 54 years,Both sexes,Primary & Lower Secondary,detailed,Eastern and Midland,59.4
2021,50 - 54 years,Both sexes,Primary & Lower Secondary,detailed,Eastern and Midland,51.5
2022,50 - 54 years,Both sexes,Primary & Lower Secondary,detailed,Eastern and Midland,53.0
2023,50 - 54 years,Both sexes,Primary & Lower Secondary,detailed,Eastern and Midland,60.5
2024,50 - 54 years,Both sexes,Primary & Lower Secondary,detailed,Eastern and Midland,72.0
2019,55 - 59 years,Both sexes,Primary & Lower Secondary,detailed,Eastern and Midland,56.5
2020,55 - 59 years,Both sexes,Primary & Lower Secondary,detailed,Eastern and Midland,54.8
2021,55 - 59 years,Both sexes,Primary & Lower Secondary,detailed,Eastern and Midland,61.1
2022,55 - 59 years,Both sexes,Primary & Lower Secondary,detailed,Eastern and Midland,57.3
2023,55 - 59 years,Both sexes,Primary & Lower Secondary,detailed,Eastern and Midland,63.4
2024,55 - 59 years,Both sexes,Primary & Lower Secondary,detailed,Eastern and Midland,53.6
2019,60 - 64 years,Both sexes,Primary & Lower Secondary,detailed,Eastern and Midland,44.8
2020,60 - 64 years,Both sexes,Primary & Lower Secondary,detailed,Eastern and Midland,42.9
2021,60 - 64 years,Both sexes,Primary & Lower Secondary,detailed,Eastern and Midland,40.6
2022,60 - 64 years,Both sexes,Primary & Lower Secondary,detailed,Eastern and Midland,48.6
2023,60 - 64 years,Both sexes,Primary & Lower Secondary,detailed,Eastern and Midland,53.7
2024,60 - 64 years,Both sexes,Primary & Lower Secondary,detailed,Eastern and Midland,53.9
2019,All ages,Both sexes,Primary & Lower Secondary,detailed,Eastern and Midland,53.9
2020,All ages,Both sexes,Primary & Lower Secondary,detailed,Eastern and Midland,50.1
2021,All ages,Both sexes,Primary & Lower Secondary,detailed,Eastern and Midland,52.9
2022,All ages,Both sexes,Primary & Lower Secondary,detailed,Eastern and Midland,53.2
2023,All ages,Both sexes,Primary & Lower Secondary,detailed,Eastern and Midland,55.9
2024,All ages,Both sexes,Primary & Lower Secondary,detailed,Eastern and Midland,56.8
2019,20 - 24 years,Both sexes,Tertiary,detailed,Eastern and Midland,82.8
2020,20 - 24 years,Both sexes,Tertiary,detailed,Eastern and Midland,73.9
2021,20 - 24 years,Both sexes,Tertiary,detailed,Eastern and Midland,78.9
2022,20 - 24 years,Both sexes,Tertiary,detailed,Eastern and Midland,85.3
2023,20 - 24 years,Both sexes,Tertiary,detailed,Eastern and Midland,88.4
2024,20 - 24 years,Both sexes,Tertiary,detailed,Eastern and Midland,80.6
2019,25 - 29 years,Both sexes,Tertiary,detailed,Eastern and Midland,88.3
2020,25 - 29 years,Both sexes,Tertiary,detailed,Eastern and Midland,84.1
2021,25 - 29 years,Both sexes,Tertiary,detailed,Eastern and Midland,91.1
2022,25 - 29 years,Both sexes,Tertiary,detailed,Eastern and Midland,91.4
2023,25 - 29 years,Both sexes,Tertiary,detailed,Eastern and Midland,90.4
2024,25 - 29 years,Both sexes,Tertiary,detailed,Eastern and Midland,88.7
2019,30 - 34 years,Both sexes,Tertiary,detailed,Eastern and Midland,88.3
2020,30 - 34 years,Both sexes,Tertiary,detailed,Eastern and Midland,86.8
2021,30 - 34 years,Both sexes,Tertiary,detailed,Eastern and Midland,86.3
2022,30 - 34 years,Both sexes,Tertiary,detailed,Eastern and Midland,89.0
2023,30 - 34 years,Both sexes,Tertiary,detailed,Eastern and Midland,92.2
2024,30 - 34 years,Both sexes,Tertiary,detailed,Eastern and Midland,90.6
2019,35 - 39 years,Both sexes,Tertiary,detailed,Eastern and Midland,89.1
2020,35 - 39 years,Both sexes,Tertiary,detailed,Eastern and Midland,86.9
2021,35 - 39 years,Both sexes,Tertiary,detailed,Eastern and Midland,88.4
2022,35 - 39 years,Both sexes,Tertiary,detailed,Eastern and Midland,89.0
2023,35 - 39 years,Both sexes,Tertiary,detailed,Eastern and Midland,89.1
2024,35 - 39 years,Both sexes,Tertiary,detailed,Eastern and Midland,91.3
2019,40 - 44 years,Both sexes,Tertiary,detailed,Eastern and Midland,88.3
2020,40 - 44 years,Both sexes,Tertiary,detailed,Eastern and Midland,86.6
2021,40 - 44 years,Both sexes,Tertiary,detailed,Eastern and Midland,89.6
2022,40 - 44 years,Both sexes,Tertiary,detailed,Eastern and Midland,89.9
2023,40 - 44 years,Both sexes,Tertiary,detailed,Eastern and Midland,92.9
2024,40 - 44 years,Both sexes,Tertiary,detailed,Eastern and Midland,88.9
2019,45 - 49 years,Both sexes,Tertiary,detailed,Eastern and Midland,87.4
2020,45 - 49 years,Both sexes,Tertiary,detailed,Eastern and Midland,85.0
2021,45 - 49 years,Both sexes,Tertiary,detailed,Eastern and Midland,87.7
2022,45 - 49 years,Both sexes,Tertiary,detailed,Eastern and Midland,89.5
2023,45 - 49 years,Both sexes,Tertiary,detailed,Eastern and Midland,91.3
2024,45 - 49 years,Both sexes,Tertiary,detailed,Eastern and Midland,88.8
2019,50 - 54 years,Both sexes,Tertiary,detailed,Eastern and Midland,88.1
2020,50 - 54 years,Both sexes,Tertiary,detailed,Eastern and Midland,83.6
2021,50 - 54 years,Both sexes,Tertiary,detailed,Eastern and Midland,86.8
2022,50 - 54 years,Both sexes,Tertiary,detailed,Eastern and Midland,90.1
2023,50 - 54 years,Both sexes,Tertiary,detailed,Eastern and Midland,89.6
2024,50 - 54 years,Both sexes,Tertiary,detailed,Eastern and Midland,90.8
2019,55 - 59 years,Both sexes,Tertiary,detailed,Eastern and Midland,82.4
2020,55 - 59 years,Both sexes,Tertiary,detailed,Eastern and Midland,81.4
2021,55 - 59 years,Both sexes,Tertiary,detailed,Eastern and Midland,80.4
2022,55 - 59 years,Both sexes,Tertiary,detailed,Eastern and Midland,87.3
2023,55 - 59 years,Both sexes,Tertiary,detailed,Eastern and Midland,83.5
2024,55 - 59 years,Both sexes,Tertiary,detailed,Eastern and Midland,86.3
2019,60 - 64 years,Both sexes,Tertiary,detailed,Eastern and Midland,62.6
2020,60 - 64 years,Both sexes,Tertiary,detailed,Eastern and Midland,60.5
2021,60 - 64 years,Both sexes,Tertiary,detailed,Eastern and Midland,58.7
2022,60 - 64 years,Both sexes,Tertiary,detailed,Eastern and Midland,63.8
2023,60 - 64 years,Both sexes,Tertiary,detailed,Eastern and Midland,62.3
2024,60 - 64 years,Both sexes,Tertiary,detailed,Eastern and Midland,67.2
2019,All ages,Both sexes,Tertiary,detailed,Eastern and Midland,86.2
2020,All ages,Both sexes,Tertiary,detailed,Eastern and Midland,83.3
2021,All ages,Both sexes,Tertiary,detailed,Eastern and Midland,85.7
2022,All ages,Both sexes,Tertiary,detailed,Eastern and Midland,87.8
2023,All ages,Both sexes,Tertiary,detailed,Eastern and Midland,88.5
2024,All ages,Both sexes,Tertiary,detailed,Eastern and Midland,87.6
2019,20 - 24 years,Both sexes,Upper Secondary & Post-secondary,detailed,Eastern and Midland,63.1
2020,20 - 24 years,Both sexes,Upper Secondary & Post-secondary,detailed,Eastern and Midland,53.6
2021,20 - 24 years,Both sexes,Upper Secondary & Post-secondary,detailed,Eastern and Midland,57.9
2022,20 - 24 years,Both sexes,Upper Secondary & Post-secondary,detailed,Eastern and Midland,64.3
2023,20 - 24 years,Both sexes,Upper Secondary & Post-secondary,detailed,Eastern and Midland,68.3
2024,20 - 24 years,Both sexes,Upper Secondary & Post-secondary,detailed,Eastern and Midland,68.0
2019,25 - 29 years,Both sexes,Upper Secondary & Post-secondary,detailed,Eastern and Midland,74.5
2020,25 - 29 years,Both sexes,Upper Secondary & Post-secondary,detailed,Eastern and Midland,67.0
2021,25 - 29 years,Both sexes,Upper Secondary & Post-secondary,detailed,Eastern and Midland,67.5
2022,25 - 29 years,Both sexes,Upper Secondary & Post-secondary,detailed,Eastern and Midland,69.5
2023,25 - 29 years,Both sexes,Upper Secondary & Post-secondary,detailed,Eastern and Midland,79.5
2024,25 - 29 years,Both sexes,Upper Secondary & Post-secondary,detailed,Eastern and Midland,77.9
2019,30 - 34 years,Both sexes,Upper Secondary & Post-secondary,detailed,Eastern and Midland,76.0
2020,30 - 34 years,Both sexes,Upper Secondary & Post-secondary,detailed,Eastern and Midland,69.2
2021,30 - 34 years,Both sexes,Upper Secondary & Post-secondary,detailed,Eastern and Midland,71.0
2022,30 - 34 years,Both sexes,Upper Secondary & Post-secondary,detailed,Eastern and Midland,78.5
2023,30 - 34 years,Both sexes,Upper Secondary & Post-secondary,detailed,Eastern and Midland,76.9
2024,30 - 34 years,Both sexes,Upper Secondary & Post-secondary,detailed,Eastern and Midland,75.5
2019,35 - 39 years,Both sexes,Upper Secondary & Post-secondary,detailed,Eastern and Midland,79.8
2020,35 - 39 years,Both sexes,Upper Secondary & Post-secondary,detailed,Eastern and Midland,71.9
2021,35 - 39 years,Both sexes,Upper Secondary & Post-secondary,detailed,Eastern and Midland,73.3
2022,35 - 39 years,Both sexes,Upper Secondary & Post-secondary,detailed,Eastern and Midland,79.0
2023,35 - 39 years,Both sexes,Upper Secondary & Post-secondary,detailed,Eastern and Midland,76.1
2024,35 - 39 years,Both sexes,Upper Secondary & Post-secondary,detailed,Eastern and Midland,80.3
2019,40 - 44 years,Both sexes,Upper Secondary & Post-secondary,detailed,Eastern and Midland,77.6
2020,40 - 44 years,Both sexes,Upper Secondary & Post-secondary,detailed,Eastern and Midland,76.1
2021,40 - 44 years,Both sexes,Upper Secondary & Post-secondary,detailed,Eastern and Midland,79.3
2022,40 - 44 years,Both sexes,Upper Secondary & Post-secondary,detailed,Eastern and Midland,77.3
2023,40 - 44 years,Both sexes,Upper Secondary & Post-secondary,detailed,Eastern and Midland,84.1
2024,40 - 44 years,Both sexes,Upper Secondary & Post-secondary,detailed,Eastern and Midland,85.6
2019,45 - 49 years,Both sexes,Upper Secondary & Post-secondary,detailed,Eastern and Midland,77.9
2020,45 - 49 years,Both sexes,Upper Secondary & Post-secondary,detailed,Eastern and Midland,76.9
2021,45 - 49 years,Both sexes,Upper Secondary & Post-secondary,detailed,Eastern and Midland,75.4
2022,45 - 49 years,Both sexes,Upper Secondary & Post-secondary,detailed,Eastern and Midland,88.0
2023,45 - 49 years,Both sexes,Upper Secondary & Post-secondary,detailed,Eastern and Midland,84.8
2024,45 - 49 years,Both sexes,Upper Secondary & Post-secondary,detailed,Eastern and Midland,83.9
2019,50 - 54 years,Both sexes,Upper Secondary & Post-secondary,detailed,Eastern and Midland,76.4
2020,50 - 54 years,Both sexes,Upper Secondary & Post-secondary,detailed,Eastern and Midland,72.2
2021,50 - 54 years,Both sexes,Upper Secondary & Post-secondary,detailed,Eastern and Midland,75.6
2022,50 - 54 years,Both sexes,Upper Secondary & Post-secondary,detailed,Eastern and Midland,79.3
2023,50 - 54 years,Both sexes,Upper Secondary & Post-secondary,detailed,Eastern and Midland,73.0
2024,50 - 54 years,Both sexes,Upper Secondary & Post-secondary,detailed,Eastern and Midland,79.3
2019,55 - 59 years,Both sexes,Upper Secondary & Post-secondary,detailed,Eastern and Midland,70.4
2020,55 - 59 years,Both sexes,Upper Secondary & Post-secondary,detailed,Eastern and Midland,70.5
2021,55 - 59 years,Both sexes,Upper Secondary & Post-secondary,detailed,Eastern and Midland,69.4
2022,55 - 59 years,Both sexes,Upper Secondary & Post-secondary,detailed,Eastern and Midland,72.5
2023,55 - 59 years,Both sexes,Upper Secondary & Post-secondary,detailed,Eastern and Midland,66.5
2024,55 - 59 years,Both sexes,Upper Secondary & Post-secondary,detailed,Eastern and Midland,75.8
2019,60 - 64 years,Both sexes,Upper Secondary & Post-secondary,detailed,Eastern and Midland,56.5
2020,60 - 64 years,Both sexes,Upper Secondary & Post-secondary,detailed,Eastern and Midland,52.4
2021,60 - 64 years,Both sexes,Upper Secondary & Post-secondary,detailed,Eastern and Midland,56.3
2022,60 - 64 years,Both sexes,Upper Secondary & Post-secondary,detailed,Eastern and Midland,57.1
2023,60 - 64 years,Both sexes,Upper Secondary & Post-secondary,detailed,Eastern and Midland,55.5
2024,60 - 64 years,Both sexes,Upper Secondary & Post-secondary,detailed,Eastern and Midland,58.9
2019,All ages,Both sexes,Upper Secondary & Post-secondary,detailed,Eastern and Midland,72.5
2020,All ages,Both sexes,Upper Secondary & Post-secondary,detailed,Eastern and Midland,67.2
2021,All ages,Both sexes,Upper Secondary & Post-secondary,detailed,Eastern and Midland,69.0
2022,All ages,Both sexes,Upper Secondary & Post-secondary,detailed,Eastern and Midland,73.7
2023,All ages,Both sexes,Upper Secondary & Post-secondary,detailed,Eastern and Midland,73.8
2024,All ages,Both sexes,Upper Secondary & Post-secondary,detailed,Eastern and Midland,76.1
2019,20 - 24 years,Female,All Levels,all,Eastern and Midland,65.6
2020,20 - 24 years,Female,All Levels,all,Eastern and Midland,56.9
2021,20 - 24 years,Female,All Levels,all,Eastern and Midland,63.9
2022,20 - 24 years,Female,All Levels,all,Eastern and Midland,67.4
2023,20 - 24 years,Female,All Levels,all,Eastern and Midland,71.6
2024,20 - 24 years,Female,All Levels,all,Eastern and Midland,70.2
2019,25 - 29 years,Female,All Levels,all,Eastern and Midland,77.3
2020,25 - 29 years,Female,All Levels,all,Eastern and Midland,72.1
2021,25 - 29 years,Female,All Levels,all,Eastern and Midland,81.9
2022,25 - 29 years,Female,All Levels,all,Eastern and Midland,79.8
2023,25 - 29 years,Female,All Levels,all,Eastern and Midland,82.6
2024,25 - 29 years,Female,All Levels,all,Eastern and Midland,80.0
2019,30 - 34 years,Female,All Levels,all,Eastern and Midland,73.6
2020,30 - 34 years,Female,All Levels,all,Eastern and Midland,71.6
2021,30 - 34 years,Female,All Levels,all,Eastern and Midland,78.4
2022,30 - 34 years,Female,All Levels,all,Eastern and Midland,80.2
2023,30 - 34 years,Female,All Levels,all,Eastern and Midland,82.0
2024,30 - 34 years,Female,All Levels,all,Eastern and Midland,84.0
2019,35 - 39 years,Female,All Levels,all,Eastern and Midland,76.1
2020,35 - 39 years,Female,All Levels,all,Eastern and Midland,70.2
2021,35 - 39 years,Female,All Levels,all,Eastern and Midland,75.0
2022,35 - 39 years,Female,All Levels,all,Eastern and Midland,77.4
2023,35 - 39 years,Female,All Levels,all,Eastern and Midland,76.2
2024,35 - 39 years,Female,All Levels,all,Eastern and Midland,81.2
2019,40 - 44 years,Female,All Levels,all,Eastern and Midland,75.7
2020,40 - 44 years,Female,All Levels,all,Eastern and Midland,73.3
2021,40 - 44 years,Female,All Levels,all,Eastern and Midland,75.9
2022,40 - 44 years,Female,All Levels,all,Eastern and Midland,76.7
2023,40 - 44 years,Female,All Levels,all,Eastern and Midland,82.8
2024,40 - 44 years,Female,All Levels,all,Eastern and Midland,79.2
2019,45 - 49 years,Female,All Levels,all,Eastern and Midland,72.9
2020,45 - 49 years,Female,All Levels,all,Eastern and Midland,71.1
2021,45 - 49 years,Female,All Levels,all,Eastern and Midland,74.8
2022,45 - 49 years,Female,All Levels,all,Eastern and Midland,78.8
2023,45 - 49 years,Female,All Levels,all,Eastern and Midland,81.7
2024,45 - 49 years,Female,All Levels,all,Eastern and Midland,78.0
2019,50 - 54 years,Female,All Levels,all,Eastern and Midland,71.5
2020,50 - 54 years,Female,All Levels,all,Eastern and Midland,68.2
2021,50 - 54 years,Female,All Levels,all,Eastern and Midland,69.5
2022,50 - 54 years,Female,All Levels,all,Eastern and Midland,74.2
2023,50 - 54 years,Female,All Levels,all,Eastern and Midland,75.4
2024,50 - 54 years,Female,All Levels,all,Eastern and Midland,81.3
2019,55 - 59 years,Female,All Levels,all,Eastern and Midland,61.7
2020,55 - 59 years,Female,All Levels,all,Eastern and Midland,64.9
2021,55 - 59 years,Female,All Levels,all,Eastern and Midland,67.3
2022,55 - 59 years,Female,All Levels,all,Eastern and Midland,68.0
2023,55 - 59 years,Female,All Levels,all,Eastern and Midland,64.8
2024,55 - 59 years,Female,All Levels,all,Eastern and Midland,68.4
2019,60 - 64 years,Female,All Levels,all,Eastern and Midland,48.5
2020,60 - 64 years,Female,All Levels,all,Eastern and Midland,42.7
2021,60 - 64 years,Female,All Levels,all,Eastern and Midland,44.4
2022,60 - 64 years,Female,All Levels,all,Eastern and Midland,48.2
2023,60 - 64 years,Female,All Levels,all,Eastern and Midland,49.3
2024,60 - 64 years,Female,All Levels,all,Eastern and Midland,54.5
2019,All ages,Female,All Levels,all,Eastern and Midland,70.4
2020,All ages,Female,All Levels,all,Eastern and Midland,66.8
2021,All ages,Female,All Levels,all,Eastern and Midland,71.3
2022,All ages,Female,All Levels,all,Eastern and Midland,73.5
2023,All ages,Female,All Levels,all,Eastern and Midland,75.3
2024,All ages,Female,All Levels,all,Eastern and Midland,76.2
2019,30 - 34 years,Female,Primary & Lower Secondary,detailed,Eastern and Midland,35.4
2020,30 - 34 years,Female,Primary & Lower Secondary,detailed,Eastern and Midland,38.4
2019,35 - 39 years,Female,Primary & Lower Secondary,detailed,Eastern and Midland,45.9
2020,35 - 39 years,Female,Primary & Lower Secondary,detailed,Eastern and Midland,28.7
2019,40 - 44 years,Female,Primary & Lower Secondary,detailed,Eastern and Midland,47.4
2020,40 - 44 years,Female,Primary & Lower Secondary,detailed,Eastern and Midland,42.5
2019,45 - 49 years,Female,Primary & Lower Secondary,detailed,Eastern and Midland,42.9
2020,45 - 49 years,Female,Primary & Lower Secondary,detailed,Eastern and Midland,46.4
2019,50 - 54 years,Female,Primary & Lower Secondary,detailed,Eastern and Midland,47.0
2020,50 - 54 years,Female,Primary & Lower Secondary,detailed,Eastern and Midland,44.6
2019,55 - 59 years,Female,Primary & Lower Secondary,detailed,Eastern and Midland,40.7
2020,55 - 59 years,Female,Primary & Lower Secondary,detailed,Eastern and Midland,39.5
2023,55 - 59 years,Female,Primary & Lower Secondary,detailed,Eastern and Midland,47.3
2019,60 - 64 years,Female,Primary & Lower Secondary,detailed,Eastern and Midland,34.7
2020,60 - 64 years,Female,Primary & Lower Secondary,detailed,Eastern and Midland,30.8
2023,60 - 64 years,Female,Primary & Lower Secondary,detailed,Eastern and Midland,47.6
2019,All ages,Female,Primary & Lower Secondary,detailed,Eastern and Midland,40.4
2020,All ages,Female,Primary & Lower Secondary,detailed,Eastern and Midland,37.2
2021,All ages,Female,Primary & Lower Secondary,detailed,Eastern and Midland,35.7
2022,All ages,Female,Primary & Lower Secondary,detailed,Eastern and Midland,38.5
2023,All ages,Female,Primary & Lower Secondary,detailed,Eastern and Midland,40.0
2024,All ages,Female,Primary & Lower Secondary,detailed,Eastern and Midland,41.7
2019,20 - 24 years,Female,Tertiary,detailed,Eastern and Midland,82.7
2020,20 - 24 years,Female,Tertiary,detailed,Eastern and Midland,74.9
2021,20 - 24 years,Female,Tertiary,detailed,Eastern and Midland,81.9
2022,20 - 24 years,Female,Tertiary,detailed,Eastern and Midland,84.0
2023,20 - 24 years,Female,Tertiary,detailed,Eastern and Midland,87.9
2024,20 - 24 years,Female,Tertiary,detailed,Eastern and Midland,84.3
2019,25 - 29 years,Female,Tertiary,detailed,Eastern and Midland,86.3
2020,25 - 29 years,Female,Tertiary,detailed,Eastern and Midland,82.8
2021,25 - 29 years,Female,Tertiary,detailed,Eastern and Midland,91.4
2022,25 - 29 years,Female,Tertiary,detailed,Eastern and Midland,89.3
2023,25 - 29 years,Female,Tertiary,detailed,Eastern and Midland,88.5
2024,25 - 29 years,Female,Tertiary,detailed,Eastern and Midland,85.2
2019,30 - 34 years,Female,Tertiary,detailed,Eastern and Midland,83.3
2020,30 - 34 years,Female,Tertiary,detailed,Eastern and Midland,81.8
2021,30 - 34 years,Female,Tertiary,detailed,Eastern and Midland,84.9
2022,30 - 34 years,Female,Tertiary,detailed,Eastern and Midland,87.9
2023,30 - 34 years,Female,Tertiary,detailed,Eastern and Midland,90.9
2024,30 - 34 years,Female,Tertiary,detailed,Eastern and Midland,90.1
2019,35 - 39 years,Female,Tertiary,detailed,Eastern and Midland,85.0
2020,35 - 39 years,Female,Tertiary,detailed,Eastern and Midland,82.1
2021,35 - 39 years,Female,Tertiary,detailed,Eastern and Midland,84.7
2022,35 - 39 years,Female,Tertiary,detailed,Eastern and Midland,85.1
2023,35 - 39 years,Female,Tertiary,detailed,Eastern and Midland,84.8
2024,35 - 39 years,Female,Tertiary,detailed,Eastern and Midland,87.8
2019,40 - 44 years,Female,Tertiary,detailed,Eastern and Midland,83.7
2020,40 - 44 years,Female,Tertiary,detailed,Eastern and Midland,81.3
2021,40 - 44 years,Female,Tertiary,detailed,Eastern and Midland,83.8
2022,40 - 44 years,Female,Tertiary,detailed,Eastern and Midland,84.6
2023,40 - 44 years,Female,Tertiary,detailed,Eastern and Midland,90.2
2024,40 - 44 years,Female,Tertiary,detailed,Eastern and Midland,85.3
2019,45 - 49 years,Female,Tertiary,detailed,Eastern and Midland,82.9
2020,45 - 49 years,Female,Tertiary,detailed,Eastern and Midland,78.3
2021,45 - 49 years,Female,Tertiary,detailed,Eastern and Midland,85.8
2022,45 - 49 years,Female,Tertiary,detailed,Eastern and Midland,85.6
2023,45 - 49 years,Female,Tertiary,detailed,Eastern and Midland,88.2
2024,45 - 49 years,Female,Tertiary,detailed,Eastern and Midland,83.1
2019,50 - 54 years,Female,Tertiary,detailed,Eastern and Midland,82.9
2020,50 - 54 years,Female,Tertiary,detailed,Eastern and Midland,78.3
2021,50 - 54 years,Female,Tertiary,detailed,Eastern and Midland,84.8
2022,50 - 54 years,Female,Tertiary,detailed,Eastern and Midland,82.3
2023,50 - 54 years,Female,Tertiary,detailed,Eastern and Midland,85.6
2024,50 - 54 years,Female,Tertiary,detailed,Eastern and Midland,86.8
2019,55 - 59 years,Female,Tertiary,detailed,Eastern and Midland,74.6
